id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.05,8,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,79,3,427,2020-03-10,3.12,1,0
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene Helfand,,Noe Valley,37.74916,-122.42971,Entire home/apt,84,30,63,2020-03-27,0.48,1,271
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,130,30,119,2019-02-05,0.90,1,329
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75818,-122.44153,Entire home/apt,155,3,412,2020-03-17,3.13,1,97
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75565,-122.40125,Private room,152,2,309,2020-10-14,2.34,2,149
24723,Guest Suite in PacHeights,100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,199,5,332,2020-03-12,2.48,2,0
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,150,5,42,2020-03-01,0.72,1,342
25662,"Convenient, quiet, private",106005,Gayle,,Potrero Hill,37.76234,-122.39536,Private room,125,4,320,2020-03-13,2.45,1,0
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76005,-122.42208,Private room,202,1,26,2019-11-21,0.37,2,0
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73871,-122.41167,Entire home/apt,172,4,17,2020-01-21,0.14,2,0
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,175,2,74,2021-03-28,0.57,1,299
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,94,2019-09-29,0.72,1,281
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,270,1,600,2021-03-26,4.67,2,347
39174,Bette's New Place,127367,Annette,,Mission,37.74918,-122.42478,Entire home/apt,107,30,21,2019-09-30,0.18,16,365
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.741,-122.42018,Entire home/apt,73,60,22,2019-08-20,0.19,2,342
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.7617,-122.41887,Entire home/apt,107,30,97,2019-03-19,0.75,2,221
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.7369,-122.43451,Entire home/apt,125,30,151,2021-02-03,1.17,1,360
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,129,30,19,2021-01-21,0.15,1,0
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75454,-122.38698,Entire home/apt,150,30,2,2017-08-20,0.02,16,365
44032,The Mission-100% Private,98733,David + Tina,,Mission,37.75158,-122.41158,Entire home/apt,91,30,291,2021-03-07,2.25,1,158
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75131,-122.42167,Entire home/apt,150,60,3,2010-10-04,0.02,1,95
47486,Easy parking & nearby public transp. Beautiful,215133,Richard,,Ocean View,37.72377,-122.46962,Entire home/apt,78,30,34,2020-12-05,0.27,1,92
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.79186,-122.42429,Entire home/apt,90,30,29,2021-03-14,0.23,9,316
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.7714,-122.42935,Entire home/apt,110,30,108,2020-09-20,0.84,1,365
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79373,-122.42507,Private room,54,30,163,2019-10-17,1.35,9,365
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73805,-122.41165,Private room,95,3,145,2019-12-15,1.14,2,281
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.79337,-122.40198,Entire home/apt,145,30,19,2019-11-22,0.16,1,0
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79352,-122.42649,Entire home/apt,85,30,41,2021-02-20,0.32,9,335
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77927,-122.48432,Entire home/apt,99,30,13,2021-03-28,0.10,2,284
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74778,-122.44566,Entire home/apt,116,30,27,2019-04-21,0.21,2,127
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79183,-122.42425,Private room,47,30,127,2020-12-02,1.00,9,365
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Western Addition,37.77434,-122.4373,Entire home/apt,200,30,153,2020-10-13,1.21,1,226
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74684,-122.41548,Entire home/apt,178,30,218,2021-02-28,1.72,1,342
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75758,-122.42043,Private room,99,30,122,2019-09-21,1.01,2,89
58185,Quiet Home in the Trees of Forest Knolls,278102,Brooke,,Inner Sunset,37.75502,-122.45829,Entire home/apt,329,2,4,2020-07-17,0.17,1,0
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.80098,-122.41611,Private room,125,2,252,2021-03-30,2.09,4,89
59702,Garden Cottage Charming!,287136,,,Bernal Heights,37.74188,-122.4127,Private room,100,30,192,2019-07-20,1.61,1,82
59831,Lovely quiet private room in Home,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,2011-05-23,0.01,1,0
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,Emilie,,Western Addition,37.77034,-122.43594,Entire home/apt,425,3,213,2020-11-29,1.70,2,0
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Noe Valley,37.7422,-122.42996,Private room,85,2,37,2019-10-14,0.49,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76314,-122.42468,Entire home/apt,500,3,56,2020-03-21,0.47,1,330
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74921,-122.41422,Entire home/apt,158,2,364,2021-03-22,2.90,2,333
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80284,-122.42839,Private room,98,30,68,2020-02-11,0.58,3,365
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Outer Richmond,37.77737,-122.47985,Entire home/apt,85,30,98,2020-05-22,0.83,2,332
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.7767,-122.50773,Entire home/apt,216,30,13,2019-10-13,0.11,16,365
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp,,Mission,37.75394,-122.425,Entire home/apt,326,30,40,2020-09-05,0.33,1,351
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77585,-122.46413,Entire home/apt,80,30,55,2021-02-04,0.46,1,353
69549,MISSION Outr BedRm3+Fridge+PvtBath,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,38,30,40,2020-03-18,0.33,12,365
69553,MISSION Outr BedRmU3+Fridge+MicroWave,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,40,30,27,2019-08-12,0.22,12,365
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Outer Richmond,37.77505,-122.50776,Entire home/apt,185,30,7,2018-01-14,0.06,16,333
70753,Dorm Bed In Friendly Hostel Community #1,329072,Darren & Friends,,Financial District,37.7937,-122.40417,Shared room,43,1,403,2020-02-28,3.25,15,88
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",367464,Jeff,,Bernal Heights,37.74409,-122.40846,Entire home/apt,114,3,161,2021-03-22,2.59,1,178
71779,スタジオアパート,368770,Fukuko,,Inner Richmond,37.77487,-122.46543,Entire home/apt,80,30,2,2011-09-30,0.02,1,365
72365,Large loft studio in the center of SF. F1A,374909,Eric,,Western Addition,37.77489,-122.4322,Entire home/apt,85,30,69,2021-03-31,0.56,14,339
72444,Dorm Bed In Friendly Hostel Community #2,329072,Darren & Friends,,Financial District,37.7937,-122.40417,Private room,33,1,446,2021-03-24,3.65,15,56
72921,Wonderful private 1 bedroom apt. F6,374909,Eric,,Western Addition,37.77487,-122.43221,Entire home/apt,80,30,53,2020-08-26,0.43,14,295
74451,Views of SF from a nice studio F5,374909,Eric,,Western Addition,37.77497,-122.4323,Entire home/apt,80,30,23,2021-03-09,0.21,14,290
74758,Mission Outr Rustic Pvt Bedroom,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,40,30,35,2019-08-10,0.29,12,365
75422,Mission Outr CozyBedRm4+Minfridge,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,35,30,9,2018-07-09,0.08,12,365
75423,Mission Outr Big Precious Roomy Room,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,38,30,35,2019-08-10,0.29,12,0
77175,Social Distance Friendly Private Studio,395569,Tyler&Shoreh,,Glen Park,37.73711,-122.43525,Entire home/apt,137,3,306,2021-04-03,2.51,1,139
77932,"FAB BDRM w/ PrvtBATH, Patio,Fridge",305973,Maria,,Excelsior,37.73072,-122.42436,Private room,37,30,24,2019-12-22,0.21,12,309
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh,,Mission,37.75585,-122.42081,Private room,85,30,92,2019-10-25,0.77,2,365
80394,Hideaway in the Haight,126930,Abla,,Haight Ashbury,37.77065,-122.44433,Entire home/apt,135,30,24,2020-03-16,0.28,1,162
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Brent,,Western Addition,37.78408,-122.44436,Entire home/apt,72,30,22,2020-11-01,0.18,1,309
83553,Sutro Garden View,127367,Annette,,Seacliff,37.77527,-122.50922,Entire home/apt,85,30,10,2020-07-31,0.09,16,343
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76114,-122.44929,Entire home/apt,175,30,95,2019-01-01,0.82,1,0
96383,Prime Location Bright Private Room,216682,Jay,,Pacific Heights,37.79359,-122.42421,Private room,50,30,135,2020-04-10,1.12,9,365
99094,Spacious Edwardian Flat SF Mission,522225,Marzio,,Mission,37.76945,-122.42456,Entire home/apt,185,4,13,2019-08-21,0.11,1,51
105497,Private Room in San Francisco!,547669,Jamie,,Outer Sunset,37.75699,-122.4973,Private room,90,45,4,2019-08-16,0.09,4,365
106025,Gorgeous French Flat near Union Sq.,359813,Annette,,Downtown/Civic Center,37.78693,-122.41539,Private room,95,30,61,2019-11-03,0.51,1,78
109883,San Francisco Serenity/ lovely home,566147,,,West of Twin Peaks,37.73241,-122.46432,Entire home/apt,120,2,381,2021-03-28,3.19,1,335
110825,Charming Cottage with Bay View,568933,Michael,,Bayview,37.71664,-122.38981,Entire home/apt,120,30,9,2019-08-11,0.08,1,341
114401,Room w/ a View in the Castro!,580606,George,,Castro/Upper Market,37.75939,-122.43051,Private room,115,1,595,2021-03-28,4.95,1,355
115242,Telegraph Hill-Full Bay View.Updated 1br++.Parking,582450,Dawn,,North Beach,37.80599,-122.40943,Entire home/apt,120,30,13,2020-11-22,0.11,1,36
121065,Victorian 1BR/1BA in Castro/Duboce,608445,,,Western Addition,37.77117,-122.43292,Entire home/apt,113,30,36,2017-07-09,0.33,2,311
124011,Golden Gate Park/UCSF Family High-Tech Victorian,617985,Patrick,,Inner Sunset,37.76317,-122.47029,Entire home/apt,580,7,11,2019-03-23,0.14,1,311
126046,SF Victorian With Skyline Views,625762,Ryan And Lindsea,,Haight Ashbury,37.76704,-122.44468,Entire home/apt,165,30,82,2019-08-24,0.70,3,190
128230,Castro Sanctuary,634277,Maria,,Castro/Upper Market,37.75737,-122.43566,Entire home/apt,285,3,159,2021-03-17,1.33,1,326
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,11,2019-08-17,0.10,8,365
130805,"Hip, Cozy, Creative, Victorian",643713,Sue,,Mission,37.75518,-122.42153,Entire home/apt,97,30,76,2021-03-16,0.64,1,269
132441,"Calm, Cool & Collected
on Sunny Bernal Hill",650862,Kurt,,Bernal Heights,37.73987,-122.4234,Private room,75,1,134,2020-10-22,1.12,1,159
134015,"Marina location, rooftop GGB views+ private deck!",657837,Heidi,,Marina,37.80244,-122.42698,Entire home/apt,300,4,72,2019-09-12,0.61,1,0
137129,San Francisco Luxury Summer Rental,639671,Mark,,Inner Richmond,37.78733,-122.46371,Entire home/apt,594,7,1,2020-02-22,0.07,1,5
137672,Charming Private Room in Cozy Apt,673098,Elizabeth,,Golden Gate Park,37.76592,-122.47609,Entire home/apt,150,30,14,2013-11-25,0.12,1,363
138221,Lone Mountain Pied A Terre,674976,Phil,,Inner Richmond,37.77664,-122.45586,Entire home/apt,140,30,73,2021-03-01,0.62,3,130
138772,Garden Studio,261304,Claire,,Castro/Upper Market,37.75848,-122.43246,Private room,150,5,73,2021-03-21,0.62,1,263
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.7844,-122.47932,Entire home/apt,325,5,206,2020-11-25,1.79,1,188
144242,Lake Street Single Family Home,699215,Kate,,Inner Richmond,37.78546,-122.46148,Entire home/apt,495,30,18,2020-08-15,0.15,1,63
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.79233,-122.42431,Private room,53,30,120,2020-03-31,1.01,9,365
147443,Best Views in all of San Francisco,709325,Mark,,Diamond Heights,37.74633,-122.44591,Entire home/apt,170,30,109,2020-11-23,0.92,4,306
148559,"Super central, modern Victorian Apartment, 2.5 br",717236,Steven,,Castro/Upper Market,37.76612,-122.43124,Entire home/apt,275,5,19,2018-07-30,0.16,1,0
148627,Romantic Marina Garden Studio,709325,Mark,,Marina,37.79961,-122.42771,Entire home/apt,80,30,111,2020-10-27,0.97,4,275
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75045,-122.44956,Entire home/apt,70,30,90,2020-11-30,1.09,4,287
150347,Cute Private 2Br Apt in the Mission with Parking!,172182,Brian & Leah,,Mission,37.75981,-122.4188,Entire home/apt,149,30,126,2021-03-08,1.06,2,294
164207,Charming views in peaceful area by Metro subway,783438,,,West of Twin Peaks,37.74333,-122.46541,Private room,89,3,378,2020-03-14,3.19,3,3
166199,Castro Cottage w/ Secret Garden,792371,Matt,,Castro/Upper Market,37.76241,-122.43026,Entire home/apt,170,30,159,2019-07-08,1.36,1,89
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76973,-122.44695,Entire home/apt,165,30,161,2021-03-12,1.37,1,138
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79203,-122.40284,Entire home/apt,110,30,24,2015-07-01,0.21,16,365
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Chinatown,37.79175,-122.4045,Entire home/apt,135,30,51,2019-11-28,0.44,16,365
176274,Mission Outr PvtBDRm2D w/ fridge+microwave,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,45,30,10,2019-10-26,0.09,12,365
177137,Grant Avenue Apartment,817292,Rick,,Russian Hill,37.79782,-122.40802,Entire home/apt,90,30,67,2020-11-22,0.57,2,264
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen,,Glen Park,37.73604,-122.43777,Entire home/apt,220,3,256,2020-11-25,2.37,1,347
191632,Private Entrance Garden Studio,583207,Maria,,Haight Ashbury,37.77444,-122.44969,Entire home/apt,138,2,498,2020-03-15,4.24,1,0
193292,Nice Rooms With Private 1/2 Bath,937281,Lauren&Sarah,,Noe Valley,37.75117,-122.42567,Private room,120,30,63,2014-09-22,0.55,1,250
199480,One room overlooking Precita Park,974441,Peter,,Bernal Heights,37.74554,-122.412,Private room,80,4,203,2020-02-17,1.73,2,0
201313,Fully Furnished 1 bedroom apartment,1479964,James,,North Beach,37.80356,-122.40437,Entire home/apt,140,30,2,2018-08-22,0.06,16,360
207980,"3 Bdrm City View Home w/Parking, deck,",1023546,Bruce,,Diamond Heights,37.74325,-122.43756,Entire home/apt,276,2,437,2021-03-25,3.75,1,285
208714,Cozy fully furnished one bedroom apartment in SF,1027819,Ac,,Downtown/Civic Center,37.78897,-122.41245,Entire home/apt,199,30,78,2018-01-11,0.67,1,365
208831,Virtually Your Own Apt in Nth Beach,1028577,Peter,,Russian Hill,37.80121,-122.41339,Entire home/apt,150,3,506,2020-12-06,4.36,1,151
209514,Haight Ashbury Experience Room 2,1032643,Josh,,Haight Ashbury,37.77255,-122.44985,Private room,92,1,496,2020-12-09,4.25,5,362
211117,Spacious Garden-Level Apartment,1089812,Lisa,,Western Addition,37.77625,-122.42863,Entire home/apt,130,30,24,2016-08-20,0.21,1,362
212783,Haight Ashbury Experience Room 1,1032643,Josh,,Haight Ashbury,37.77085,-122.44814,Private room,98,1,467,2020-12-24,4.01,5,355
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.77175,-122.45012,Private room,78,1,521,2020-12-18,4.48,5,351
217106,Great Ashbury Studio in SF  A3,374909,Eric,,Haight Ashbury,37.76551,-122.44614,Entire home/apt,85,30,45,2019-11-02,0.39,14,268
218567,Balcony on Fillmore Street +Parking,1130612,Marin,,Western Addition,37.78618,-122.43209,Entire home/apt,200,30,88,2018-03-07,0.76,1,311
220418,Haight Ashbury Experience Room 3,1032643,Josh,,Haight Ashbury,37.77031,-122.44948,Private room,78,1,447,2020-11-17,3.84,5,362
221342,Penthouse Master Suite Panoramic View with Decks,285168,Bill,,Russian Hill,37.80316,-122.41582,Private room,139,2,225,2021-04-03,1.93,4,76
229240,Dorm Bed In Friendly Hostel Community #3,329072,Darren & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,367,2020-03-01,3.16,15,88
229319,Bernal pied-à-terre,12798954,Anya,,Bernal Heights,37.73825,-122.41451,Entire home/apt,135,30,18,2016-01-19,0.16,2,0
231752,Mid-Century Garden Flat in Charming Upper Castro Victorian,691445,LeighAnna,,Castro/Upper Market,37.75751,-122.44016,Entire home/apt,225,30,81,2021-03-18,0.71,1,222
232060,Lovely Private Suite Near UCSF- Monthly Only,1214006,Syl & Art,,Inner Sunset,37.75893,-122.4664,Entire home/apt,99,30,113,2017-09-25,1.01,1,97
238190,Contemporary Penthouse with Two Beds and City View,285168,Bill,,Russian Hill,37.8031,-122.41449,Private room,119,2,230,2021-04-02,1.99,4,88
238204,Spacious SF Getaway Near The Ocean,1248132,"Jennifer, Maria , Andrew",,Parkside,37.74228,-122.50415,Entire home/apt,144,3,219,2020-10-19,1.90,1,357
241235,Dorm Bed In Friendly Hostel Community #4,329072,Darren & Friends,,Financial District,37.7937,-122.40417,Shared room,46,1,328,2020-03-06,2.84,15,89
244361,North Beach Chinatown Apartment,817292,Rick,,Chinatown,37.79556,-122.40697,Entire home/apt,90,30,73,2020-03-15,0.63,2,267
256176,Private entrance bd/bath by GG Park,976125,Eva,,Inner Richmond,37.77713,-122.456,Private room,75,2,348,2021-04-04,3.04,1,321
258786,Room with Bay Views,698337,Emily,,Bernal Heights,37.74344,-122.4066,Private room,68,30,16,2019-02-25,0.14,2,0
259621,Dorm Bed In Friendly Hostel Community #6,329072,Darren & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,241,2020-01-22,2.11,15,76
259622,Dorm Bed In Friendly Hostel Community #5,329072,Darren & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,220,2020-02-09,1.98,15,87
269463,Elegant Victorian Flat in Haight,1244308,Lawrence,,Haight Ashbury,37.76761,-122.45139,Entire home/apt,243,2,144,2021-04-02,1.26,1,47
271602,Luxury Condo Downtown/ SoMa,1421296,Richard,,South of Market,37.77907,-122.40503,Entire home/apt,81,30,107,2021-03-20,0.95,1,176
271647,"Private Room w/ 2 Queen Beds, Steps to Ocean Beach",1421509,,,Outer Sunset,37.75334,-122.50794,Private room,43,30,135,2021-02-14,1.30,2,23
273530,"Sunny Potrero Townhouse ""Nest""",99128,Cathryn,,Potrero Hill,37.75533,-122.39927,Entire home/apt,288,4,33,2019-04-27,0.37,2,94
274334,Newly remodeled clean/private bath,1434669,Ashli,,Outer Sunset,37.7517,-122.5051,Private room,79,3,89,2021-02-01,0.79,1,50
279184,"Sunny 3 BR home in the Mission, great location",1456262,Justin,,Mission,37.75059,-122.41415,Entire home/apt,525,4,13,2019-07-03,0.12,2,0
280549,Bungalow Rooms with Great Views,1454829,Luise,,West of Twin Peaks,37.73948,-122.44947,Private room,250,1,35,2018-09-23,0.37,1,158
280673,Art & Sun Lovers abode in MISSION,1463652,Shane In SF,,Bernal Heights,37.74584,-122.42392,Private room,42,30,97,2020-12-01,0.86,1,364
284117,"Cozy, Charming Cottage nestled in a Quiet Garden",1479905,Samantha,,Glen Park,37.74102,-122.42815,Entire home/apt,74,30,211,2021-03-01,1.90,1,110
285499,Castro States Street View Penthouse,1479964,James,,Castro/Upper Market,37.76349,-122.4397,Entire home/apt,199,30,4,2020-08-22,0.05,16,365
288213,Stylish Potrero Garden Flat for Two,1498483,Jared & Katherine,,Potrero Hill,37.75924,-122.38948,Entire home/apt,196,2,201,2021-04-05,1.80,1,302
292723,Mission Outr PvtBDRmD3 + MiniFridge,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,45,30,18,2017-08-05,0.16,12,365
295240,Garden Apartment Oasis with Lush Greenery and a Hot Tub,1525192,Kristoffer,,Castro/Upper Market,37.76066,-122.44102,Entire home/apt,299,2,196,2021-03-28,1.76,1,289
295565,SF BedRM 4,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,32,30,9,2019-07-31,0.08,12,364
307837,"Lovely, garden studio apartment",1583952,Ellen,,Noe Valley,37.75314,-122.43724,Entire home/apt,169,7,66,2021-03-06,0.61,1,189
308885,North Beach Best Location and View,1588855,Arbe,,Financial District,37.79739,-122.4052,Entire home/apt,90,30,111,2020-03-31,1.06,2,363
314248,Pacific Heights 3 bedroom home,1614566,Sarah,,Pacific Heights,37.78946,-122.43538,Entire home/apt,325,7,43,2020-07-26,0.48,1,233
314368,2BR North Beach - Perfect for Business or Leisure,1229762,Jason,,North Beach,37.80333,-122.40962,Entire home/apt,600,1,44,2020-11-08,1.26,1,177
317121,Small but practical studio in SF,374909,Eric,,Haight Ashbury,37.76547,-122.44616,Entire home/apt,67,30,27,2019-07-31,0.25,14,125
323635,Sleep in  HappyBudha Retreat Room,812808,Mukt,,Excelsior,37.72386,-122.4325,Private room,51,2,79,2020-02-14,0.72,1,365
325478,Spacious & artsy 2br Dolores Park flat,1579337,Markus,,Mission,37.76122,-122.42319,Entire home/apt,265,3,137,2021-01-02,1.23,1,21
326650,Lovely beautiful Apt Pac Fillmore,1670339,Je,,Western Addition,37.78457,-122.43177,Entire home/apt,199,30,32,2015-08-07,0.30,2,365
329020,"The Clock Tower, circa 1907.",326840,Jorge,,South of Market,37.78377,-122.39275,Entire home/apt,250,30,6,2017-10-05,0.05,1,0
330535,Victorian Flat amongst the Trees.,625762,Ryan And Lindsea,,Haight Ashbury,37.76699,-122.44643,Entire home/apt,150,30,113,2020-09-30,1.02,3,239
334339,Castro Cottage: Room & Private Bath,879042,Bruce,,Castro/Upper Market,37.76063,-122.4423,Private room,119,3,194,2020-02-28,1.84,1,179
335869,Perfect Mission Location; Parking; Spacious,1643707,Monika,,Mission,37.76235,-122.42073,Entire home/apt,147,30,6,2021-01-20,0.07,1,89
338849,Best area Bright LARGE Beautiful,1670339,Je,,Western Addition,37.78599,-122.43232,Private room,59,30,3,2014-10-16,0.03,2,365
342420,Large Victorian House in Castro,1737796,,,Castro/Upper Market,37.76235,-122.42969,Entire home/apt,662,4,19,2019-08-20,0.26,1,0
344621,Charming Bungalow on the Sunnyside,305675,Patricia,,Outer Mission,37.72883,-122.44775,Private room,75,1,44,2020-08-23,0.41,1,281
345760,Master bedroom suite,1753794,Ashish,,Castro/Upper Market,37.76449,-122.43665,Private room,85,30,19,2019-12-12,0.21,2,0
348580,Lovely view condo near BART/Mission,197515,Mark,,Bernal Heights,37.74352,-122.41796,Entire home/apt,160,3,35,2020-01-02,0.32,1,0
350479,"Sunny, garden view bedroom",1776403,Ken,,Mission,37.75783,-122.41063,Private room,45,30,41,2020-09-23,0.39,5,309
351881,Castro Classic Victorian w/ Views,1781821,Katie And Chris,,Castro/Upper Market,37.76031,-122.44136,Private room,128,2,388,2020-02-17,3.51,2,38
351978,Mission Outr BedRmD1 w/ Patio+Fridge+Microwave,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,35,30,27,2019-12-15,0.25,12,365
353292,"Mid-Century Modern Flat, Central Locale",1789683,Tim,,Western Addition,37.77201,-122.4297,Private room,90,30,23,2020-03-17,0.21,1,0
371595,"Private Garden Room- Near UCSF, Sutter Heath & DT",165574,Jonathan,,Presidio Heights,37.78146,-122.45619,Entire home/apt,54,30,244,2020-09-07,2.21,2,79
374997,Castro View Whole Top flr Apartment,1781821,Katie And Chris,,Castro/Upper Market,37.76014,-122.44159,Entire home/apt,329,6,41,2020-02-29,0.41,2,68
379255,Beautiful 4-bdrm in San Francisco,1904628,Clare,,Haight Ashbury,37.7661,-122.4449,Entire home/apt,849,6,15,2020-01-17,0.14,1,0
379349,Best location in San Francisco,1901233,Miriam,,Haight Ashbury,37.76646,-122.44425,Entire home/apt,130,3,307,2021-03-25,2.86,1,326
